generic,disease,age_group,dose_range,route,support
amikacin,Bacteremia,adult,10-15 mg,IM,2
amikacin,Bacteremia,child,10-15 mg,IM,2
amikacin,Bacteremia,elderly,10-15 mg,IM,4
amikacin,Bacterial Infection,adult,10-15 mg,IM,2
amikacin,Bacterial Infection,child,unknown,IM,10
amikacin,Bone and Joint Infection,adult,10-15 mg,IM,2
amikacin,Bone and Joint Infection,child,10-15 mg,IM,2
amikacin,Bone and Joint Infection,elderly,10-15 mg,IM,4
amikacin,Intraabdominal Infection,adult,10-15 mg,IM,2
amikacin,Intraabdominal Infection,child,10-15 mg,IM,2
amikacin,Intraabdominal Infection,elderly,10-15 mg,IM,4
amikacin,Meningitis,adult,10-15 mg,IM,2
amikacin,Meningitis,child,10-15 mg,IM,2
amikacin,Mycobacterium avium-intracellulare - Treatment,adult,10-15 mg,IM,2
amikacin,Mycobacterium avium-intracellulare - Treatment,child,10-15 mg,IV,1
amikacin,Osteomyelitis,adult,10-15 mg,IM,2
amikacin,Osteomyelitis,child,10-15 mg,IM,2
amikacin,Osteomyelitis,elderly,10-15 mg,IM,4
amikacin,Peritonitis,adult,10-15 mg,IM,2
amikacin,Peritonitis,child,10-15 mg,IM,2
amikacin,Pneumonia,adult,10-15 mg,IM,2
amikacin,Pneumonia,child,10-15 mg,IM,2
amikacin,Pneumonia,elderly,10-15 mg,IM,4
amikacin,Skin or Soft Tissue Infection,adult,10-15 mg,IM,2
amikacin,Skin or Soft Tissue Infection,child,10-15 mg,IM,2
amikacin,Skin or Soft Tissue Infection,elderly,10-15 mg,IM,4
amikacin,Tuberculosis - Active,adult,10-15 mg,IM,2
amikacin,Tuberculosis - Active,child,10-15 mg,IM,2
amikacin,Tuberculosis - Active,elderly,10-15 mg,IM,4
amikacin,Urinary Tract Infection,adult,10-15 mg,IM,2
amikacin,Urinary Tract Infection,child,10-15 mg,IM,2
ampicillin,Bacterial Endocarditis Prophylaxis,child,50-100 mg,IM,2
ampicillin,Bacterial Endocarditis Prophylaxis,elderly,unknown,IM,2
ampicillin,Bacterial Infection,child,50-200 mg,IM,7
ampicillin,Bronchitis,child,unknown,IM,6
ampicillin,Bronchitis,elderly,unknown,PO,4
ampicillin,Cutaneous Bacillus anthracis,child,200-400 mg,IM,6
ampicillin,Cutaneous Bacillus anthracis,elderly,unknown,IV,1
ampicillin,Endocarditis,child,300-400 mg,IM,4
ampicillin,Gastroenteritis,child,unknown,IM,6
ampicillin,Gastroenteritis,elderly,unknown,IM,3
ampicillin,Gonococcal Infection - Uncomplicated,elderly,unknown,IM,3
ampicillin,Inhalation Bacillus anthracis,child,200-400 mg,IM,6
ampicillin,Inhalation Bacillus anthracis,elderly,unknown,IV,1
ampicillin,Intraabdominal Infection,child,unknown,IM,6
ampicillin,Intraabdominal Infection,elderly,unknown,IM,3
ampicillin,Meningitis,child,150-400 mg,IM,6
ampicillin,Meningitis,elderly,150-200 mg,IM,2
ampicillin,Meningitis - Streptococcus Group B,child,300-370 mg,IM,6
ampicillin,Meningitis - Streptococcus Group B,elderly,unknown,IV,1
ampicillin,Pharyngitis,child,unknown,IM,6
ampicillin,Pharyngitis,elderly,unknown,IM,3
ampicillin,Pneumonia,child,unknown,IM,6
ampicillin,Pneumonia,elderly,unknown,IM,3
ampicillin,Septicemia,child,150-200 mg,IM,6
ampicillin,Septicemia,elderly,150-200 mg,IV,1
ampicillin,Shigellosis,child,unknown,IM,6
ampicillin,Shigellosis,elderly,unknown,IM,3
ampicillin,Sinusitis,child,unknown,IM,6
ampicillin,Sinusitis,elderly,unknown,IM,3
ampicillin,Skin or Soft Tissue Infection,child,50-62 mg,IM,4
ampicillin,Skin or Soft Tissue Infection,elderly,unknown,IM,2
ampicillin,Surgical Prophylaxis,child,50-100 mg,IM,2
ampicillin,Surgical Prophylaxis,elderly,unknown,IV,1
ampicillin,Typhoid Fever,child,unknown,IM,6
ampicillin,Typhoid Fever,elderly,unknown,IM,3
ampicillin,Upper Respiratory Tract Infection,child,unknown,IM,6
ampicillin,Upper Respiratory Tract Infection,elderly,unknown,IM,3
ampicillin,Urinary Tract Infection,child,unknown,IM,6
ampicillin,Urinary Tract Infection,elderly,unknown,IM,3
